iter	Logloss
0	0.6885119544
1	0.6833245459
2	0.6785503144
3	0.673443251
4	0.6687836268
5	0.6643821677
6	0.6591543618
7	0.654980178
8	0.6505865879
9	0.6467517129
10	0.6424587048
11	0.6378357978
12	0.6341622457
13	0.6301064675
14	0.6263063083
15	0.6231144988
16	0.6193646245
17	0.6150657407
18	0.6113270717
19	0.6070079163
20	0.6027654868
21	0.5986175463
22	0.5950855686
23	0.5910759847
24	0.5868089906
25	0.58330328
26	0.579066696
27	0.5756507881
28	0.5729547291
29	0.5692347995
30	0.5663658069
31	0.5633914963
32	0.5608219636
33	0.5576693892
34	0.5548834198
35	0.5516357506
36	0.5500160715
37	0.5487878493
38	0.5454370833
39	0.5426264904
40	0.5405466081
41	0.537364674
42	0.5342736124
43	0.5307035387
44	0.5277110548
45	0.5250927663
46	0.5229168947
47	0.5203553396
48	0.5175717871
49	0.5148701221
50	0.512430222
51	0.510746971
52	0.5086355054
53	0.5058414108
54	0.5032129805
55	0.5006411527
56	0.4982957278
57	0.4960125223
58	0.4938234322
59	0.4914849979
60	0.488710453
61	0.4869035831
62	0.4844104046
63	0.4821075328
64	0.4802282141
65	0.4782024081
66	0.4758451758
67	0.4736734051
68	0.4721814212
69	0.4693211125
70	0.4675976747
71	0.4657010439
72	0.463443317
73	0.461504682
74	0.4590836748
75	0.4571447747
76	0.455658728
77	0.453339069
78	0.451382276
79	0.4494612154
80	0.447994133
81	0.4455433076
82	0.4433494804
83	0.4413338267
84	0.4396736638
85	0.4376855696
86	0.4358254086
87	0.4340101386
88	0.4322717765
89	0.4301216626
90	0.4285957439
91	0.4269128909
92	0.425321253
93	0.4234845106
94	0.421972299
95	0.4205728316
96	0.4189926795
97	0.4184286434
98	0.4170178555
99	0.4152623423
100	0.4136583771
101	0.4114870975
102	0.4100857461
103	0.4086627881
104	0.4072357743
105	0.4058366695
106	0.4036998825
107	0.4019451993
108	0.4003345505
109	0.3988341945
110	0.3968850612
111	0.3955003472
112	0.3940158257
113	0.3921914578
114	0.3906028334
115	0.3888283013
116	0.3874886703
117	0.3862232508
118	0.3851505505
119	0.3835707117
120	0.3821122979
121	0.3807233815
122	0.3790977837
123	0.3775826838
124	0.3763391191
125	0.3748834352
126	0.3739086812
127	0.372873162
128	0.3715544739
129	0.370103663
130	0.3691599314
131	0.3674977469
132	0.3662393568
133	0.3649667794
134	0.3635589095
135	0.3622690946
136	0.3612173121
137	0.3602166207
138	0.3590194182
139	0.3575958375
140	0.3559866864
141	0.3550552272
142	0.3540015437
143	0.3528968953
144	0.351918872
145	0.351497427
146	0.3503881706
147	0.3494206593
148	0.3487521246
149	0.3476983335
150	0.3465927723
151	0.3450279431
152	0.3447350992
153	0.3438189425
154	0.3431445265
155	0.3420079398
156	0.3408150409
157	0.3397122273
158	0.3385203111
159	0.3373232837
160	0.3359350641
