iter	Passed	Remaining
0	2	2009
1	3	1828
2	5	1747
3	6	1708
4	8	1713
5	10	1730
6	12	1704
7	13	1683
8	15	1665
9	16	1647
10	18	1638
11	19	1628
12	21	1619
13	22	1619
14	24	1636
15	27	1680
16	28	1673
17	30	1668
18	32	1663
19	33	1656
20	35	1646
21	36	1640
22	38	1632
23	39	1626
24	42	1655
25	44	1650
26	45	1643
27	47	1637
28	48	1629
29	50	1623
30	51	1618
31	53	1611
32	54	1605
33	56	1602
34	58	1606
35	59	1602
36	61	1597
37	62	1578
38	63	1574
39	65	1570
40	67	1567
41	68	1564
42	70	1561
43	71	1557
44	74	1578
45	75	1568
46	77	1564
47	78	1560
48	80	1556
49	81	1554
50	83	1553
51	84	1546
52	86	1551
53	88	1549
54	89	1546
55	91	1541
56	93	1538
57	94	1530
58	95	1528
59	97	1525
60	98	1522
61	100	1520
62	102	1524
63	104	1523
64	105	1521
65	107	1519
66	108	1516
67	110	1513
68	111	1510
69	113	1507
70	114	1503
71	116	1503
72	118	1508
73	120	1505
74	121	1502
75	123	1500
76	125	1503
77	126	1500
78	128	1498
79	130	1495
80	131	1493
81	133	1496
82	135	1493
83	136	1490
84	138	1488
85	139	1485
86	141	1482
87	142	1479
88	144	1477
89	145	1474
90	147	1472
91	149	1471
92	150	1468
93	152	1466
94	153	1464
95	155	1462
96	156	1459
97	157	1453
98	159	1451
99	161	1449
100	162	1447
101	165	1455
102	166	1453
103	168	1450
104	169	1448
105	171	1446
106	173	1443
107	174	1441
108	175	1438
109	177	1436
110	179	1437
111	181	1437
112	182	1435
113	184	1433
114	186	1431
115	187	1430
116	189	1428
117	190	1425
118	192	1423
119	193	1421
120	195	1422
121	197	1420
122	198	1418
123	200	1416
124	202	1414
125	203	1412
126	205	1410
127	206	1407
128	208	1405
129	209	1404
130	212	1409
131	214	1407
132	215	1406
133	217	1404
134	218	1402
135	220	1400
136	222	1398
137	223	1397
138	225	1395
139	227	1399
140	229	1398
141	231	1397
142	232	1395
143	234	1394
144	236	1391
145	237	1387
146	238	1385
147	240	1383
148	242	1382
149	243	1381
150	245	1379
151	246	1377
152	247	1372
153	249	1370
154	250	1365
155	252	1363
156	253	1361
157	254	1358
158	256	1356
159	259	1361
160	260	1359
161	262	1357
162	263	1355
163	265	1352
164	266	1351
165	268	1349
166	270	1347
167	271	1345
168	273	1345
169	275	1345
170	277	1343
171	278	1341
172	280	1339
173	281	1338
174	283	1336
175	285	1334
176	286	1332
177	288	1331
178	290	1331
179	291	1329
180	293	1326
181	294	1324
182	296	1323
183	297	1320
184	299	1318
185	300	1316
186	302	1315
187	304	1313
188	306	1315
189	308	1313
190	309	1311
191	311	1309
192	312	1307
193	314	1305
194	315	1303
195	317	1301
196	319	1300
197	321	1303
198	323	1301
199	325	1300
200	326	1298
201	328	1296
202	329	1294
203	331	1292
204	333	1291
205	334	1290
206	337	1292
207	339	1291
208	340	1289
209	342	1288
210	344	1286
211	345	1285
212	347	1283
213	349	1281
214	350	1279
215	353	1281
216	354	1280
217	356	1278
218	358	1276
219	359	1275
220	361	1273
221	362	1271
222	364	1269
223	366	1268
224	368	1268
225	369	1266
226	371	1264
227	373	1262
228	374	1261
229	376	1259
230	377	1258
231	379	1256
232	381	1254
233	382	1252
234	384	1251
235	386	1250
236	387	1247
237	388	1245
238	390	1243
239	392	1241
240	393	1240
241	395	1238
242	396	1236
243	398	1235
244	401	1235
245	402	1234
246	404	1232
247	405	1230
248	406	1227
249	408	1225
250	410	1223
251	411	1220
252	412	1218
253	414	1218
254	416	1217
255	418	1215
256	419	1213
257	421	1212
258	423	1210
259	424	1208
260	426	1206
261	427	1205
262	429	1203
263	431	1202
264	433	1201
265	434	1199
266	436	1197
267	438	1197
268	439	1195
269	441	1194
270	443	1192
271	445	1191
272	447	1191
273	448	1189
274	450	1187
275	452	1186
276	453	1184
277	455	1182
278	457	1181
279	458	1179
280	459	1177
281	462	1177
282	464	1175
283	465	1174
284	467	1172
285	468	1170
286	470	1168
287	472	1167
288	473	1164
289	474	1162
290	476	1160
291	478	1159
292	480	1158
293	481	1156
294	483	1154
295	484	1152
296	486	1150
297	487	1148
298	489	1146
299	490	1145
300	492	1143
301	494	1143
302	496	1142
303	498	1140
304	499	1138
305	501	1137
306	502	1135
307	504	1133
308	506	1131
309	507	1129
310	509	1129
311	511	1127
312	513	1126
313	514	1124
314	516	1122
315	517	1119
316	518	1117
317	520	1116
318	522	1114
319	524	1113
320	525	1112
321	527	1110
322	529	1109
323	530	1107
324	532	1105
325	533	1103
326	535	1101
327	536	1099
328	538	1097
329	541	1099
330	543	1097
331	544	1096
332	546	1094
333	548	1093
334	549	1091
335	551	1089
336	552	1087
337	554	1086
338	557	1086
339	558	1084
340	560	1083
341	562	1081
342	563	1079
343	565	1078
344	566	1076
345	568	1074
346	570	1073
347	572	1072
348	574	1071
349	575	1069
350	577	1067
351	578	1065
352	580	1063
353	582	1062
354	583	1060
355	584	1057
356	587	1059
357	589	1057
358	591	1055
359	592	1053
360	594	1052
361	595	1050
362	597	1048
363	599	1046
364	600	1045
365	603	1044
366	604	1043
367	606	1041
368	607	1039
369	609	1037
370	611	1036
371	612	1034
372	614	1032
373	615	1030
374	617	1029
375	619	1027
376	620	1026
377	622	1024
378	624	1022
379	625	1020
380	627	1019
381	628	1017
382	630	1015
383	632	1014
384	635	1014
385	636	1012
386	638	1011
387	639	1009
388	641	1007
389	642	1005
390	644	1004
391	646	1002
392	648	1000
393	649	999
394	651	998
395	653	996
396	655	994
397	656	993
398	658	991
399	659	989
400	661	987
401	662	985
402	664	984
403	665	982
404	667	980
405	669	978
406	670	977
407	672	975
408	673	973
409	675	971
410	676	969
411	678	968
412	680	967
413	682	966
414	684	964
415	685	962
416	687	960
417	689	959
418	690	957
419	692	956
420	694	954
421	696	953
422	697	951
423	699	949
424	700	948
425	702	946
426	703	944
427	705	942
428	706	940
429	708	939
430	709	937
431	711	936
432	713	934
433	715	932
434	716	930
435	718	929
436	719	927
437	721	925
438	723	923
439	724	922
440	726	920
441	729	920
442	730	918
443	732	917
444	734	915
445	735	913
446	737	912
447	739	910
448	740	908
449	742	907
450	744	906
451	746	904
452	747	902
453	749	901
454	750	899
455	752	897
456	753	895
457	755	894
458	757	892
459	758	890
460	760	889
461	762	887
462	763	885
463	765	883
464	766	882
465	768	880
466	769	878
467	771	877
468	773	875
469	775	875
470	777	873
471	779	871
472	780	869
473	782	867
474	783	866
475	785	864
476	786	862
477	788	860
478	790	859
479	792	858
480	793	856
481	795	854
482	796	852
483	798	851
484	799	849
485	801	847
486	802	845
487	804	844
488	806	842
489	808	841
490	809	839
491	811	837
492	812	835
493	814	834
494	815	832
495	817	830
496	818	828
497	820	827
498	823	826
499	825	825
500	826	823
501	828	821
502	829	819
503	831	818
